time;model_id;model_name;port_name;data
10.3;5;adder;;{noise: 4.55889, n1: 0, n2: 0, sum: 4.55889, sigma: inf}
10.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
10.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
10.4;5;adder;;{noise: -0.713336, n1: 0, n2: 0, sum: -0.713336, sigma: 0}
10.4;6;noise;noise_out;-0.713336
10.4;6;noise;;{value: 15.2819, sigma: 0.1}
10.4;1;electrode;;{input: -0.713336, threshold: 25, sigma: inf}
10.4;5;adder;sum_out;-0.713336
10.4;5;adder;;{noise: -0.713336, n1: 0, n2: 0, sum: -0.713336, sigma: inf}
10.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
10.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
10.5;5;adder;;{noise: 15.2819, n1: 0, n2: 0, sum: 15.2819, sigma: 0}
10.5;6;noise;noise_out;15.2819
10.5;6;noise;;{value: 11.0609, sigma: 0.1}
10.5;1;electrode;;{input: 15.2819, threshold: 25, sigma: inf}
10.5;5;adder;sum_out;15.2819
10.5;5;adder;;{noise: 15.2819, n1: 0, n2: 0, sum: 15.2819, sigma: inf}
10.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
10.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
10.6;5;adder;;{noise: 11.0609, n1: 0, n2: 0, sum: 11.0609, sigma: 0}
10.6;6;noise;noise_out;11.0609
10.6;6;noise;;{value: 1.03918, sigma: 0.1}
10.6;1;electrode;;{input: 11.0609, threshold: 25, sigma: inf}
10.6;5;adder;sum_out;11.0609
10.6;5;adder;;{noise: 11.0609, n1: 0, n2: 0, sum: 11.0609, sigma: inf}
10.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
10.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
10.7;5;adder;;{noise: 1.03918, n1: 0, n2: 0, sum: 1.03918, sigma: 0}
10.7;6;noise;noise_out;1.03918
10.7;6;noise;;{value: -9.06795, sigma: 0.1}
10.7;1;electrode;;{input: 1.03918, threshold: 25, sigma: inf}
10.7;5;adder;sum_out;1.03918
10.7;5;adder;;{noise: 1.03918, n1: 0, n2: 0, sum: 1.03918, sigma: inf}
10.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
10.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
10.8;5;adder;;{noise: -9.06795, n1: 0, n2: 0, sum: -9.06795, sigma: 0}
